Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Fong, A. H. et al. Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Tissue Eng Part A 22, 10161025 (2016).", Three-Dimensional Adult Cardiac Extracellular Matrix Promotes Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes,,https://doi.org/10.1089/ten.TEA.2016.0027,2016," Tissue Eng Part A 22, 10161025 (2016)",WTC11,1,Male,Asian,Matrigel,mTeSR-1,82.5,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,Flow cytometry for cTnT+,85,,,,,,,,,,,Yes,,Decellularized tissue,CM,,,"RPMI,1640,B27",1.6,,Yes,,,,,,,,,,Genetically encoded sensor,0.6,30,,220,,,,,,,,,PCR,"isoproterenol, propanolol",,,,,3D Only,,,1,Q3,2,Q2,7,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,Q4,,,,,,,Q4,Q4,,Q2,,,,,,,,
"Fukushima, H. et al. Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells. PLoS One 15, (2020).", Specific induction and long-term maintenance of high purity ventricular cardiomyocytes from human induced pluripotent stem cells,,https://doi.org/10.1371/journal.pone.0241287,2020," PLoS One 15, (2020)","836B3, 253G1,1201C1",3,"NaN, NaN, NaN","NaN, NaN, NaN",Matrigel,"MEF-conditioned medium, bFGF",100,RPMI-1640,"B27, L-glutamine","Activin A, BMP4, bFGF",0-5,"XAV939, IWP4",5-Sep,Cell sorting,,Flow cytometry for cTnT+,97,,"Matrigel, Gelatin",,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,TEM,,1.91,,like structures,,,,,,,,,,,Patch clamp,,115,-64,,,,PCR,"E4031, chromanol",,,,,2D Only,100,,5,Q1,4,Q1,7,,,,,Q1,RPMI-1640,,,,,,,,,Q2,,,,,,,,,,,Q1,Q4,,,,
"Gao, L. et al. Large Cardiac Muscle Patches Engineered From Human Induced-Pluripotent Stem CellDerived Cardiac Cells Improve Recovery From Myocardial Infarction in Swine. Circulation 137, 17121730 (2018).", Large Cardiac Muscle Patches Engineered From Human Induced-Pluripotent Stem CellDerived Cardiac Cells Improve Recovery From Myocardial Infarction in Swine,,https://doi.org/10.1161/CIRCULATIONAHA.117.030785,2018," Circulation 137, 17121730 (2018)",in-house,1,,,Matrigel,,,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,,3-May,No glucose with lactate,Aug-14,Flow cytometry for cTnT+,96,,,,,,Yes,Yes,Flow ,,,,,Fibrin,CM + EC + SC,hiPSC-SMC,hiPSC-EC,,1,800,Yes,TEM,,,,,Force transducer,1.8,,,Dye,,,,,,Optical mapping,14.1,,,,,,,isoproterenol,,,,,3D Only,,,2,Q2,2,Q2,,,,6,Q1,Q1,RPMI-1640,50,Q3,25,Q1,25,Q1,Q4,Q1,,,Q1,,,,,,,,Q3,,,,,,
"Gao, L. et al. Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold. Circ Res 120, 13181325 (2017)."," Myocardial Tissue Engineering with Cells Derived from Human-Induced Pluripotent Stem Cells and a Native-Like, High-Resolution, 3-Dimensionally Printed Scaffold",,https://doi.org/10.1161/CIRCRESAHA.116.310277,2017," Circ Res 120, 13181325 (2017)",in-house,1,,,Matrigel,,,RPMI-1640,B27,CHIR99021,0-1,Not Listed,3-May,No glucose and lactate,20-30,"IHC cTnI, IHC cTnT, IHC a-actinin, IHC cx43, IHC MLC2v",95,,Gelatin,,,,,Yes,,Yes,,Yes,,"Decellularized ECM, PEG, 3D printing",CM + EC + SC,hiPSC-SMC,hiPSC-EC,"DMEM,FCS",,4,Yes,,Yes,,,,Motion tracking analysis,,,17,Dye,2.3,,,,,Optical mapping,18,,,,,,PCR,,,,,,3D Only,,,1,Q3,2,Q2,7,10,Q1,10,Q1,Q2,RPMI-1640,50,Q3,25,Q1,25,Q1,,Q3,,,,,Q3,Q1,,,,,Q2,,,,,,
"Garay, B. I. et al. Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes. Stem Cell Reports 17, 20052022 (2022).", Dual inhibition of MAPK and PI3K/AKT pathways enhances maturation of human iPSC-derived cardiomyocytes,GSE187308 (SP Combo),https://doi.org/10.1016/j.stemcr.2022.07.003,2022," Stem Cell Reports 17, 20052022 (2022)","PLZ, MYL2-mEGFP, 19004",3,"NaN, NaN, NaN","NaN, NaN, NaN",Matrigel,mTeSR-1,77.5,RPMI-1640,B27,CHIR99021,0-2,IWP2,2-Apr,No glucose with lactate,16-20,Flow cytometry for cTnT+,99,,Matrigel,,,,,,,Yes,,,ECM-coated plastic/glass and Micropatterned polyacrlyamide gels,,,,,,,,Yes,TEM,Yes,2,4100,Yes,TFM,0.00042,,,Dye,0.175,,375,,,Patch clamp; MEA,5,112,-75,,Seahorse,,"RNA-seq, PCR",,,84.4,33.6,16,2D Only,77.5,,2,Q2,2,Q2,6,,,4,Q2,Q1,RPMI-1640,,,,,,,,,Q1,Q1,Q5,,,Q5,,Q1,,,Q4,Q1,Q2,,Q1,Q1,Q2
"Garbern, J. C. et al. Inhibition of mTOR Signaling Enhances Maturation of Cardiomyocytes Derived from Human-Induced Pluripotent Stem Cells via p53-Induced Quiescence. Circulation 285300 (2020) ", Inhibition of mTOR Signaling Enhances Maturation of Cardiomyocytes Derived from Human-Induced Pluripotent Stem Cells via p53-Induced Quiescence,,https://doi.org/10.1161/CIRCULATIONAHA.119.044205,2020, Circulation 285300 (2020) ,"BJ RiPS-A, UCSD142i-86-1PS, Gibco episomal",3,"NaN, NaN, NaN","NaN, NaN, NaN",,StemFlex,75,RPMI-1640,B27,CHIR99021,0-2,IWP4,2-Apr,,,Flow cytometry for cTnT+,70,"RPMI-1640, B27, Torin1",,Yes,Torin1,,,,,Yes,Yes,,Micropatterned gelatin,,,,,"RPMI,1640,B27",,,Yes,,,1.7,,,Motion tracking analysis,,,,Dye,,35,190,,,Optical mapping,,,,,Seahorse,,PCR,isoproterenol,,,,,2D Only,75,,2,Q2,2,Q2,7,,,,,Q5,"RPMI-1640, B27, Torin1",,,,,,,,,Q4,,,,,,Q4,Q4,,,,,,,,,
"Garreta, E. et al. Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts. Biomaterials 98, 6478 (2016).", Myocardial commitment from human pluripotent stem cells: Rapid production of human heart grafts,,https://doi.org/10.1016/j.biomaterials.2016.04.003,2016," Biomaterials 98, 6478 (2016)",ESi048-A,1,Female,Caucasian,Matrigel,mTeSR-1,,RPMI-1640,"B27, L-glutamine, ?-mercaptoethanol, NEAAs",CHIR99021,0-1,IWP4,3-May,,,,,,,,,,,,Yes,,,,Decellularized ECM,,,,,,,,Yes,,,,,,,,,,,,,,,8.3,,,,,,,,PCR,"verapamil, flecainide",,,,,2D Only,,,1,Q3,2,Q2,5,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,Q3,,,,,,,
"Giacomelli, E. et al. Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease. Cell Stem Cell 26, 862-879.e11 (2020).", Human-iPSC-Derived Cardiac Stromal Cells Enhance Maturation in 3D Cardiac Microtissues and Reveal Non-cardiomyocyte Contributions to Heart Disease,,https://doi.org/10.1016/j.stem.2020.05.004,2020," Cell Stem Cell 26, 862-879.e11 (2020)","LUMCi004-A, LUMCi026-A, LUMCi028-A, NCRM-1",4,"Female, NaN, Female, Male","Caucasian, NaN, Caucasian, NaN",Matrigel,E8,,BPEL medium (BSA with Polyvinyl alcohol Essential Lipids),,"Activin A, BMP4, CHIR99021",0-3,XAV939,3-Jun,,,Flow cytometry for cTnT+,80,,Fibronectin,,,,,Yes,,,,,,Scaffold free,CM + EC + SC,hiPSC-CF,hiPSC-EC,"BPEL,bFGF,VEGF",0.1,0.13,Yes,TEM,Yes,1.9,,Yes,Motion tracking analysis,,,50,Dye,,,150,,,Patch clamp,,105,-70,,Seahorse,,"RNA-seq, PCR","verapamil, Bay K-8644, dbcAMP",ACM,,,,3D Only,,,3,Q1,3,Q1,,,,,,Q4,BPEL medium (BSA with Polyvinyl alcohol Essential Lipids),75,Q3,15,Q1,15,Q1,Q5,Q5,Q2,,,,Q2,,,Q5,,,,Q2,Q3,,,,
"Giacomelli, E. et al. Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells. Development (Cambridge) 144, 10081017 (2017).", Three-dimensional cardiac microtissues composed of cardiomyocytes and endothelial cells co-differentiated from human pluripotent stem cells,,https://doi.org/10.1242/dev.143438,2017," Development (Cambridge) 144, 10081017 (2017)",in-house,1,,,Matrigel,E8,,BPEL medium (BSA with Polyvinyl alcohol Essential Lipids),,"Activin A, BMP4, CHIR99021",0-3,XAV939,3-Jun,Cell sorting,14,Flow cytometry for VCAM1,79,,Fibronectin,,,,,Yes,,,,,,Scaffold free,CM + EC,,hiPSC-EC,"BPEL,VEGF",0.1,0.07,Yes,,,,,,Motion tracking analysis,,,,,,,,,,Patch clamp; MEA,,100,-52,,,,PCR,"isoproterenol, verapamil",,,,,3D Only,,,3,Q1,3,Q1,,,,1,Q2,Q5,BPEL medium (BSA with Polyvinyl alcohol Essential Lipids),85,Q2,0,Q2,15,Q1,Q5,Q5,,,,,,,,,,,,Q3,Q5,,,,
"Goldfracht, I. et al. Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications. Acta Biomater 92, 145159 (2019).", Engineered heart tissue models from hiPSC-derived cardiomyocytes and cardiac ECM for disease modeling and drug testing applications,,https://doi.org/10.1016/j.actbio.2019.05.016,2019," Acta Biomater 92, 145159 (2019)",in-house,1,,,Matrigel,mTeSR-1,85,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-1,Wnt-C59,2-Apr,,,Flow cytometry for cTnT+,85,,,,,,,,Yes,,,Yes,,Decellularized tissue,CM,,,"Iscove,medium,FBS,NEAAs,glutamine,mercaptoethanol",30,24,Yes,TEM,,,,,,,,,Genetically encoded sensor,,40,,310,,Optical mapping,6,,,,,,,"isoproterenol, carbamylcholine, E4031, ATX-II, ouabain, quinidine, lidocaine, carbenoxolone",Long QT syndrome type 2 (LQTS2) and catecholaminergic polymorphic ventricular tachycardia type 2 (CPVT2),,,,3D Only,,,1,Q3,2,Q2,,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,Q1,Q2,,,,,,,Q3,,Q2,,Q4,,,,,,
"Goversen, B. et al. A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time. Front Physiol 8, (2018).", A hybrid model for safety pharmacology on an automated patch clamp platform: Using dynamic clamp to join iPSC-derived cardiomyocytes and simulations of Ik1 ion channels in real-time,,https://doi.org/10.3389/fphys.2017.01094,2018," Front Physiol 8, (2018)",Cor.4U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,Patch clamp,,,,1,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,,,
"Guan, G. et al. Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart. Bioact Mater 6, 44154429 (2021).", Engineering hiPSC-CM and hiPSC-EC laden 3D nanofibrous splenic hydrogel for improving cardiac function through revascularization and remuscularization in infarcted heart,,https://doi.org/10.1016/j.bioactmat.2021.04.010,2021," Bioact Mater 6, 44154429 (2021)",ATCC,1,,,SpGel,mTeSR-1,,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,Wnt-C59,2-Apr,,,Flow cytometry for CD31+,85,,SpGel,,,,,,,,,Yes,,"Decellularized ECM, 3D printing",CM + EC,,hiPSC-EC,,0.017,225,Yes,"SEM, TEM",Yes,,,,,,,,,,,,,,MEA,,,,,,,,,,,,,3D Only,,,2,Q2,2,Q2,,,,,,Q4,RPMI-1640,67,Q3,33,Q1,0,Q3,Q5,Q1,,,,,,,,,,,,,,,,,
"Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 37463754 (2019).", A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics,,https://doi.org/10.1021/acs.biomac.9b00786,2019," Biomacromolecules 20, 37463754 (2019)",in-house,1,,,MEF feeder cells,ES Cell Medium + 5ng/mL bFGF,,StemPro-34,"VEGF, bFGF","Activin A, BMP4, bFGF",0-4,,,,,Flow cytometry for cTnT+,,,,,,,,,,,,,,PEG,CM + SC,hCF,,,10,0.012,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,4,Q1,1,Q3,,,,,,,StemPro-34,75,Q3,0,Q2,25,Q1,Q3,Q5,,,,,,,,,,,,,,,,,
"Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 29732989 (2021).", Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology,,https://doi.org/10.1021/acsbiomaterials.0c00318,2021," ACS Biomater Sci Eng 7, 29732989 (2021)",WTC11,1,Male,Asian,Matrigel,E8,,RPMI-1640,B27,CHIR99021,0-2,IWP2,2-Apr,No glucose with lactate,20-24,Flow cytometry for cTnT+,86,,Matrigel,,,,,,,,Yes,,ECM-coated PDMS,,,,,"RPMI,1640,B27,L,ascorbic,acid,vitamin,B12",,,Yes,,Yes,1.9,,,Motion tracking analysis,0.05,,45,Genetically encoded sensor,,,150,,,,,,,,,,,,,,,,2D Only,,,2,Q2,2,Q2,6,4,Q2,4,Q2,Q3,RPMI-1640,,,,,,,,,Q2,,Q4,,Q2,,,Q5,,,,,,,,,
"Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 5672 (2016).", Bioengineering Human Myocardium on Native Extracellular Matrix,,https://doi.org/10.1161/CIRCRESAHA.115.306874,2016," Circ Res 118, 5672 (2016)",BJ-RiPS-1.1,1,,,Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-2,IWP4,2-May,,,"Flow cytometry for cTnT+, Flow cytometry for a-actinin",85,,,,,,,,Yes,,,Yes,,Decellularized tissue,CM,,,"RPMI,1640,B27",,37.5,Yes,TEM,,,,,Force transducer ,0.125,,,,,42,,,33,,,,,,,,PCR,,,,,,3D Only,,,2,Q2,3,Q1,6,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q1,,,Q4,,,,Q3,,,Q1,,,,,,,
"Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740750 (2016).", Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation,,https://doi.org/10.1016/j.scr.2016.04.014,2016," Stem Cell Res 16, 740750 (2016)",IMR-90,1,Female,,Matrigel,"MEF-conditioned medium, bFGF or E8",85,RPMI-1640,B27,CHIR99021,0-2,Wnt-C59,3-May,,,Flow cytometry for cTnT+,,,Matrigel,,,,,,,,,,Electrospun fibers,,,,,,,,Yes,,,1.4,1000,,,,,,Dye,,19,,,,MEA,,,,,,,,"isoproterenol, phenylephrine, carbamylcholine, heptanol",,,,,2D Only,85,,2,Q2,2,Q2,5,,,,,,RPMI-1640,,,,,,,,,Q5,Q3,,,,,Q5,,,,,,,,,,
"Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018).", Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes,,https://doi.org/10.3390/bios8040088,2018," Biosensors (Basel) 8, (2018)",iCell2,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,Fibronectin,,,,,,,Yes,,,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,norepinephrine,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 12511256 (2018).", Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2,,https://doi.org/10.1016/j.bbrc.2018.10.020,2018," Biochem Biophys Res Commun 505, 12511256 (2018)",201B7,1,Female,Caucasian,EBs,,,,,BMP4,0-1,IWP3,4-Aug,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,"SEM, TEM",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,4,Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565578 (2019).", Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro,,https://doi.org/10.1089/scd.2018.0210,2019," Stem Cells Dev 28, 565578 (2019)",iCell,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,Motion tracking analysis,,,,Dye,2.6,,250,,,Optical mapping,,,,,Seahorse,,Proteomics,isoproterenol,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,Q1,,Q3,,,,,,,,,
"Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016).", Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function,,https://doi.org/10.1161/CIRCEP.113.003638,2016," Circ Arrhythm Electrophysiol 9, (2016)",iCell,1,,,,,,RPMI-1640,B27,,,,,,,,,,"Matrigel, Fibronectin",,,,,,,,Yes,,ECM-coated PDMS,,,,,,,,Yes,,,,3500,,,,,,Dye,,,,,44,Patch clamp; optical mapping,,115,-80,,,,PCR,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,RPMI-1640,,,,,,,,,,Q1,,,,,,,,Q1,,Q1,Q1,,,,
"Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 11261141 (2019).", Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation,,https://doi.org/10.1016/j.stemcr.2019.11.003,2019," Stem Cell Reports 13, 11261141 (2019)",in-house (3),3,,,Matrigel,mTeSR-1,85,STEMdiff Cardiomyocyte Differentiation Kit,,StemCell Differentiation kit,0-4,,6-Aug,,,Flow cytometry for cTnT+,80,STEMdiff Cardiomyocyte Differentiation Kit,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,0.15,45,,,,,,,,,,,,,,,,,2D Only,85,,4,Q1,2,Q2,8,,,,,Q4,STEMdiff Cardiomyocyte Differentiation Kit,,,,,,,,,,,,,,Q5,Q3,,,,,,,,,,
"Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019).", Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis,,https://doi.org/10.1038/s41598-019-51197-7,2019," Sci Rep 9, (2019)",in-house,1,,,Geltrex,E8,,RPMI-1640,B27,CHIR99021,0-1,IWP2 or IWP4,2-May,No glucose with lactate,Dec-14,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,"alfuzosin, flecainide, isoproterenol",,,,,2D Only,,,1,Q3,3,Q1,7,,,2,Q2,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021).", Cardioids reveal self-organizing principles of human cardiogenesis,,https://doi.org/10.1016/j.cell.2021.04.034,2021," Cell 184, 3299-3317.e22 (2021)","WTC11, IMBAi001-A, IMBAi002-A, 178/5",4,"Male, Female, Female, Male","Asian, Caucasian, Caucasian, Caucasian",Vitronectin,"E8 with BSA, FGF2, TGF?1",EB,IMDM and F12 Nutrient Mix,"Transferrin, 1-thioglycerol, BSA","Activin A, BMP4, CHIR99021, bFGF",0-2,"BMP4, bFGF, IWP2",2-Jun,,,Flow cytometry for cTnI+,90,,,,,,,Yes,,,,,,Scaffold free,CM + EC + SC,hiPSC-SC,hiPSC-EC,"IMDM,and,F12,nutrient,mix,transferrin,thioglycerol,1,BSA,bFGF",0.08,2,Yes,TEM,,,,,Motion tracking analysis,,,,Dye,1.25,50,,,,Optical mapping,,,,,,,RNA-seq,,,,,,3D Only,,,2,Q2,4,Q1,7,,,,,Q3,IMDM and F12 Nutrient Mix,,,,,,,Q5,Q4,,,,,,Q3,Q2,,,,,,,,,,
"Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944954 (2020).", A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering,,https://doi.org/10.1002/term.3074,2020," J Tissue Eng Regen Med 14, 944954 (2020)",201B7,1,Female,Caucasian,iMatrix-511,StemFit AK03,EB,DMEM,FBS,"Activin A, BMP4, bFGF",0-3,IWR1,3-May,aMHC-Puromycin resistance selection,,Flow cytometry for cTnT+,99,,,,,,,,,,Yes,,,Scaffold free,CM,,,"DMEM,FBS",0.325,1225,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,3,Q1,2,Q2,,,,,,Q1,DMEM,100,Q1,0,Q2,0,Q3,Q5,Q1,,,,,,,,,,,,,,,,,
"Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773785 (2019).", Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function,GSE129058,https://doi.org/10.1089/ten.TEA.2018.0362,2019," Tissue Eng Part A 25, 773785 (2019)",WTC11,1,Male,Asian,Matrigel,mTeSR-1,100,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,No glucose with lactate,20-24,Flow cytometry for cTnT+,85,,,,,,,Yes,,,,,,Scaffold free,CM + SC,"hCF, hDF, hMSC, hiPSC-CF",,,0.14,0.18,Yes,,,,,,,,,,Genetically encoded sensor,1.5,,,,,,,,,,,,RNA-seq fibroblasts,,,80.3,1.2,26,3D Only,,,1,Q3,2,Q2,7,4,Q2,4,Q2,Q4,RPMI-1640,75,Q3,0,Q2,25,Q1,Q5,Q4,,,,,,Q3,,,,,,,,,Q2,Q2,Q1
